Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
66888,Nissan,Navara,SL (4X4),D23 MY21.5,2022,894,Dual Cab Pick-up,Manual,Diesel,Demo,2298,White,5
49990,Porsche,Cayenne,S,Series 2 MY12,2012,175584,Wagon,Automatic,Premium Unleaded Petrol,Used,4806,Black,5
32499,Toyota,Hilux,SR5 (4X4),KUN26R MY14,2013,226139,Dual Cab Pick-up,Automatic,Diesel,Used,2982,White,5
20990,Toyota,Corolla,Ascent,ZRE182R MY15,2017,128142,Hatchback,Automatic,Unleaded Petrol,Used,1798,White,5
79990,Toyota,Landcruiser,Workmate (4X4),VDJ79R MY18,2018,85460,Cab Chassis,Manual,Diesel,Used,4461,White,3
27999,Nissan,Patrol,TI (4X4),GU VI,2009,250464,Wagon,Automatic,Diesel,Used,2953,White,7
27999,Mitsubishi,Pajero,GLX-R LWB (4X4),NW MY14,2013,226986,Wagon,Automatic,Diesel,Used,3200,Gold,7
83990,Toyota,Hilux,Rogue (4X4),GUN126R Facelift,2021,3646,Double Cab Pick Up,Automatic,Diesel,Used,2753,Silver,5
60999,Mazda,CX-8,GT (fwd),CX8D,2022,2001,Wagon,Automatic,Unleaded Petrol,Demo,2488,Grey,7
48999,Nissan,Patrol,ST (4X4),GU IV,2006,292100,Wagon,Manual,Diesel,Used,4169,Silver,7
20990,Jeep,Wrangler,Sport (4X4),JK MY08,2009,166850,Softtop,Manual,Unleaded Petrol,Used,3778,Red,4
32998,Kia,Carnival,SLI,YP MY15,2015,163177,Wagon,Automatic,Unleaded Petrol,Used,3342,Black,8
33990,Holden,Trailblazer,LTZ (4X4),RG MY17,2017,146930,Wagon,Automatic,Diesel,Used,2776,White,7
12990,Nissan,X-Trail,ST-L (4X4),T31 MY11,2012,206877,Wagon,Automatic,Unleaded Petrol,Used,2488,White,5
22980,Hyundai,I30,Active,PD2 MY20,2019,45040,Hatchback,Automatic,Unleaded Petrol,Used,1999,Silver,5
59990,Volkswagen,Multivan,Highline TDI450,T6 MY16,2016,116213,Wagon,Automatic,Diesel,Used,1968,White,7
31990,Toyota,Hilux,Workmate (4X2),TGN121R,2022,16324,Cab Chassis,Automatic,Unleaded Petrol,Used,2694,White,2
65880,Mitsubishi,Pajero Sport,Exceed (4X4) 7 Seat,QF MY21,2021,10345,Wagon,Automatic,Diesel,Used,2442,Grey,7
28990,Ford,Ranger,XLS 2.2 (4X4),PX,2014,97889,Crew Cab Utility,Manual,Diesel,Used,2198,White,5
38990,Ford,Transit Custom,330L (lwb),VN MY16.00,2016,32612,Van,Manual,Diesel,Used,2198,White,2
85000,Toyota,Hilux,Rugged X (4X4),GUN126R,2021,12000,Double Cab Pick Up,Automatic,Diesel,New In Stock,2753,White,5
24880,Isuzu,D-MAX,SX HI-Ride (4X2),TF MY17,2017,113016,Cab Chassis,Automatic,Diesel,Used,2999,White,2
14999,Honda,Civic,VTI-L,Series 2,2012,71530,Sedan,Automatic,Unleaded Petrol,Used,1798,Black,5
15990,Kia,Grand Carnival,SLI,VQ MY14,2013,200739,Wagon,Automatic,Unleaded Petrol,Used,3470,Grey,8
38990,Nissan,Navara,ST-X (4X4) (sunroof),D23 Series II,2017,114202,Dual Cab Utility,Manual,Diesel,Used,2298,Grey,5
45981,Ford,Everest,Trend,UA,2016,79867,Wagon,Automatic,Diesel,Used,3198,White,7
19999,Toyota,Aurion,AT-X,GSV50R MY16,2017,168910,Sedan,Automatic,Unleaded Petrol,Used,3456,White,5
44880,Ford,Falcon,G6E Turbo,FG X,2015,73669,Sedan,Automatic,Unleaded Petrol,Used,3984,Grey,5
37975,Toyota,Hilux,Workmate,GUN122R,2016,47355,Cab Chassis,Manual,Diesel,Used,2393,White,2
27990,Subaru,Forester,2.5I-L,MY17,2017,110778,Wagon,Automatic,Unleaded Petrol,Used,2498,White,5
41990,Kia,Carnival,S,YP PE MY20,2019,42779,Wagon,Automatic,Unleaded Petrol,Used,3342,Grey,8
41888,Nissan,Navara,SL (4X2),D23 MY21.5,2022,2000,Dual Cab Pick-up,Manual,Diesel,Demo,2298,White,5
59990,Toyota,Hilux,SR5 (4X4),GUN126R MY17,2018,52479,Dual Cab Utility,Automatic,Diesel,Used,2753,White,5
10990,Ssangyong,Stavic,SPR 2.7 XDI,A100 08 Upgrade,2013,263542,Wagon,Automatic,Diesel,Used,2696,Silver,7
83888,Audi,S7,Sportback 4.0 Tfsi,4G MY17,2016,42983,Hatchback,Automatic,Premium Unleaded Petrol,Used,3993,Silver,4
38990,Isuzu,MU-X,LS-U (4X4),UC MY15.5,2016,111296,Wagon,Manual,Diesel,Used,2999,White,7
64490,Nissan,Navara,SL Warrior (4X4),D23 MY21.5,2022,1452,Dual Cab Pick-up,Automatic,Diesel,Demo,2298,Grey,5
31990,Toyota,Corolla,Hybrid,ZWE186R MY16,2017,35359,Hatchback,Automatic,Premium Unleaded/Electric,Used,1798,White,5
26980,Holden,Commodore,SS-V,VE,2007,178515,Sedan,Automatic,Premium Unleaded Petrol,Used,5967,Green,5
45981,Volkswagen,Tiguan,132 TSI R-Line Edition,5NA MY19,2019,61363,Wagon,Automatic,Premium Unleaded Petrol,Used,1984,Black,5
27990,BMW,220D,Sport Line,F22,2014,77744,Coupe,Automatic,Diesel,Used,1995,White,4
36480,Toyota,Kluger,GXL (4X2),GSU50R MY17,2017,136010,Wagon,Automatic,Unleaded Petrol,Used,3456,Blue,7
12990,BMW,X3,3.0SI,E83 MY07,2008,92000,Wagon,Automatic,Premium Unleaded Petrol,Used,2979,Grey,5
64500,Nissan,Navara,SL Warrior (4X4),D23 MY21.5,2022,3382,Dual Cab Pick-up,Automatic,Diesel,Demo,2298,Grey,5
15980,Holden,Rodeo,LX (4X4),RA MY05.5 Upgrade,2005,196891,Crew Cab Pickup,Manual,Diesel,Used,2999,White,5
10980,BMW,320I,Executive,E90,2005,159832,Sedan,Automatic,Unleaded Petrol,Used,1995,Grey,5
52990,Volvo,XC40,T5 R-Design (awd),536 MY19,2019,42146,Wagon,Automatic,Premium Unleaded Petrol,Used,1969,Blue,5
18990,Nissan,Navara,ST-X (4X4),D40 MY12,2013,198171,King Cab Pickup,Automatic,Diesel,Used,2488,White,2
76999,Mazda,CX-9,Azami (awd) LE,CX9M,2022,2001,Wagon,Automatic,Unleaded Petrol,Demo,2488,Grey,7
14999,Hyundai,I45,Premium,YF MY11,2012,117702,Sedan,Automatic,Unleaded Petrol,Used,2359,White,5
29980,Ford,Falcon,XR6,FG MK2,2013,84124,Utility,Automatic,Unleaded Petrol,Used,3984,White,2
47990,Toyota,Hilux,SR HI-Rider,GUN136R Facelift,2020,28501,Double Cab Pick Up,Automatic,Diesel,Used,2753,White,5
41490,Mercedes-Benz,Sprinter,319CDI MWB,906 MY14,2017,192424,Van,Automatic,Diesel,Used,2987,White,2
24980,Lexus,RX350,Luxury,GGL15R MY12,2012,140364,Wagon,Automatic,Premium Unleaded Petrol,Used,3456,Grey,5
28950,Mercedes-Benz,Viano,3.0 CDI,639 MY11,2011,151072,Wagon,Automatic,Diesel,Used,2987,Silver,7
21990,Holden,Calais,V,VF,2014,161048,Sedan,Automatic,Unleaded Petrol,Used,3565,White,5
31990,Jeep,Grand Cherokee,Overland (4X4),WK,2012,150996,Wagon,Automatic,Premium Unleaded Petrol,Used,5654,Red,5
