Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
51348,Mazda,CX-8,Touring SP (fwd),CX8D,2022,1275,Wagon,Automatic,Unleaded Petrol,Demo,2488,Gold,7
24490,Toyota,Kluger,KX-R (fwd) 5 Seat,GSU40R MY11 Upgrade,2012,119053,Wagon,Automatic,Unleaded Petrol,Used,3456,Grey,5
31990,Mitsubishi,Outlander,ES 7 Seat (awd),ZL MY19,2019,87938,Wagon,Automatic,Unleaded Petrol,Used,2360,Red,7
9995,BMW,X5,3.0I,E53,2003,177500,Wagon,Automatic,Premium Unleaded Petrol,Used,2979,Black,5
41990,Subaru,Forester,2.5I-L (awd),MY20,2019,19665,Wagon,Automatic,Unleaded Petrol,Used,2498,Grey,5
27900,Ford,Falcon,XR8,FG,2010,255936,Utility,Manual,Unleaded Petrol,Used,5408,Black,2
79990,HSV,Maloo,R8,GEN F,2013,69178,Utility,Automatic,Premium Unleaded Petrol,Used,6200,Grey,2
61450,Mazda,BT-50,GT (4X4),B30B,2021,12943,Dual Cab Pick-up,Automatic,Diesel,Used,2999,White,5
19998,Nissan,Navara,ST-X (4X4),D40 Series 4,2011,159256,Dual Cab Pick-up,Manual,Diesel,Used,2488,Silver,5
24990,Mitsubishi,Pajero,GLX-R LWB (4X4),NW MY13,2013,213583,Wagon,Automatic,Diesel,Used,3200,Brown,7
64990,Toyota,Landcruiser Prado,GXL (4X4),GDJ150R MY17,2018,101737,Wagon,Automatic,Diesel,Used,2755,White,7
79990,Ford,Falcon,XR8,FG X,2015,12640,Sedan,Automatic,Unleaded Petrol,Used,4950,Blue,5
49980,Citroen,C5 Aircross,Shine,C84 MY22,2022,330,Wagon,Automatic,Unleaded Petrol,Demo,1598,Black,5
73990,Audi,Q7,3.0 TDI Quattro,4M MY18,2018,51514,Wagon,Automatic,Diesel,Used,2967,Silver,7
25990,Mitsubishi,ASX,ES Adas ( 2WD),XC MY19,2019,61203,Wagon,Automatic,Unleaded Petrol,Used,1998,Blue,5
22978,Audi,A6,2.8 FSI Quattro,4GL MY13,2013,77955,Sedan,Automatic,Premium Unleaded Petrol,Used,2773,Black,5
44888,Audi,Q2,35 Tfsi,3Y MY21,2021,11692,Wagon,Automatic,Premium Unleaded Petrol,Used,1498,White,5
37888,Kia,Sorento,SLI (4X4),UM MY17,2017,68655,Wagon,Automatic,Diesel,Used,2199,Blue,7
31990,Mitsubishi,Outlander,ES 5 Seat (awd),ZL MY18.5,2018,64684,Wagon,Automatic,Unleaded Petrol,Used,2360,Silver,5
23990,Subaru,Forester,2.5I,MY14,2014,59418,Wagon,Automatic,Unleaded Petrol,Used,2498,White,5
28990,Mitsubishi,Eclipse Cross,LS (2WD),YA MY19,2019,59829,Wagon,Automatic,Unleaded Petrol,Used,1499,Grey,5
24990,Nissan,Pathfinder,ST (4X2),R52 MY17 Series 2,2017,119569,Wagon,Automatic,Premium Unleaded Petrol,Used,3498,Grey,7
20888,Nissan,X-Trail,ST (fwd),T32,2017,143418,Wagon,Automatic,Unleaded Petrol,Used,2488,Blue,5
61850,Lexus,NX300,F-Sport (fwd),AGZ10R,2020,18958,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,Silver,5
42990,Isuzu,D-MAX,SX (4X2),RG MY21,2020,50915,Space Cab Utility,Automatic,Diesel,Used,2999,Silver,2
48950,Audi,Q2,35 Tfsi,3Y MY21,2021,13750,Wagon,Automatic,Premium Unleaded Petrol,Used,1498,White,5
38888,LDV,T60,MAX Luxe (4X4),SKC8,2021,5363,Double Cab Utility,Automatic,Diesel,Used,1996,Black,5
58999,Mazda,CX-8,Asaki (fwd),CX8D,2021,13782,Wagon,Automatic,Diesel,Used,2191,Silver,7
28950,Mazda,BT-50,XT (4X2),MY16,2016,166094,Freestyle Cab Chassis,Automatic,Diesel,Used,3196,Silver,4
20990,Kia,Cerato,Sport,YD MY18,2018,72203,Hatchback,Automatic,Unleaded Petrol,Used,1999,White,5
31990,Mercedes-Benz,A250,Sport,176 MY15,2015,117022,Hatchback,Automatic,Premium Unleaded Petrol,Used,1991,White,5
47990,Isuzu,D-MAX,LS-M (4X4),TF MY19,2019,104190,Crew Cab Utility,Automatic,Diesel,Used,2999,White,5
46490,Subaru,Forester,2.5I Premium (awd),MY19,2019,36565,Wagon,Automatic,Unleaded Petrol,Used,2498,White,5
46490,Subaru,Forester,TS Special Edition,MY16,2016,56212,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,White,5
40490,Nissan,X-Trail,ST (4WD),T32 MY21,2021,21063,Wagon,Automatic,Unleaded Petrol,Used,2498,Silver,5
32480,Mitsubishi,Triton,GLX-R (4X4),MN MY14 Update,2014,86201,Double Cab Utility,Automatic,Diesel,Used,2477,Brown,5
19000,Mitsubishi,Pajero,GLX LWB (4X4),NS,2007,240000,Wagon,Automatic,Unleaded Petrol,Used,3828,Grey,7
39975,Ford,Ranger,XL 3.2 (4X4),PX Mkii MY17,2017,131268,Cab Chassis,Automatic,Diesel,Used,3198,White,2
12500,Hyundai,I30,Active,GD,2013,130800,Hatchback,Manual,Unleaded Petrol,Used,1797,Blue,5
27888,Nissan,Pathfinder,ST (4X2),R52 MY17 Series 2,2017,72198,Wagon,Automatic,Premium Unleaded Petrol,Used,3498,White,7
3475,Nissan,Pulsar,ST,N16,2002,215571,Sedan,Automatic,Unleaded Petrol,Used,1769,Brown,5
67950,BMW,X4,Xdrive 30I M Sport X,G02 MY19,2018,51455,Coupe,Automatic,Premium Unleaded Petrol,Used,1998,Black,5
53980,Hyundai,Sonata,N Line,DN8.V1 MY22,2021,4715,Sedan,Automatic,Unleaded Petrol,Demo,2497,Black,5
46990,Volkswagen,Passat,162TSI Elegance,3C MY22,2021,15198,Sedan,Automatic,Premium Unleaded Petrol,Used,1984,Blue,5
67900,Ford,Everest,Titanium (4WD 7 Seat),UA II MY20.25,2020,21500,Wagon,Automatic,Diesel,Used,1996,Deep,7
19000,Mitsubishi,Pajero,GLX LWB (4X4),NS,2007,240000,Wagon,Automatic,Unleaded Petrol,Used,3828,Grey,7
31500,Mazda,3,G20 Evolve,BP,2019,19500,Hatchback,Automatic,Unleaded Petrol,Used,1998,White,5
23990,Toyota,Corolla,Ascent,ZRE172R,2017,55402,Sedan,Automatic,Unleaded Petrol,Used,1798,Blue,5
16990,Toyota,Corolla,Ascent Sport,ZRE182R,2012,147161,Hatchback,Automatic,Unleaded Petrol,Used,1798,Black,5
68990,Volkswagen,Transporter,TDI450 LWB,T6.1 MY22,2022,17,Van,Automatic,Diesel,New In Stock,1968,White,3
4250,Honda,Civic,VTI,MY07,2007,215000,Sedan,Manual,Unleaded Petrol,Used,1799,Black,5
14888,Mercedes-Benz,Vito,115CDI Compact,MY08,2008,186000,Van,Automatic,Diesel,Used,2148,White,2
18888,Lexus,IS250,F Sport,GSE20R 09 Upgrade,2010,176000,Sedan,Automatic,Premium Unleaded Petrol,Used,2500,Blue,5
48000,Jeep,Grand Cherokee,SRT 8 Vapour,WK MY13,2013,112436,Wagon,Automatic,Premium Unleaded Petrol,Used,6424,Black,5
5995,Nissan,Tiida,ST,C11 MY07,2009,176793,Hatchback,Automatic,Unleaded Petrol,Used,1797,Silver,5
30490,Volkswagen,Tiguan,110 TSI Comfortline,5NA,2017,62613,Wagon,Automatic,Premium Unleaded Petrol,Used,1395,Orange,5
31500,Toyota,Hilux,SR5 (4X4),KUN26R 07 Upgrade,2008,240159,Dual Cab Pick-up,Automatic,Diesel,Used,2982,Silver,5
78888,Porsche,Macan,S Diesel,MY18,2017,65102,Wagon,Automatic,Diesel,Used,2967,White,5
11000,Jeep,Cherokee,Sport (4X4),KK,2011,150000,Wagon,Automatic,Unleaded Petrol,Used,3700,White,5
23999,Mitsubishi,Triton,GLX (4X4),MN MY14 Update,2014,228000,Double Cab Chassis,Manual,Diesel,Used,2477,White,5
39800,Land Rover,Discovery Sport,TD4 (110KW) HSE 5 Seat,L550 MY18,2017,59228,Wagon,Automatic,Diesel,Used,1999,White,5
56990,Mazda,CX-5,Akera (awd),CX5L,2022,2000,Wagon,Automatic,Unleaded Petrol,Demo,2488,Beige,5
17995,Renault,Megane,GT-Line,B95 MY14,2015,69677,Hatchback,Automatic,Premium Unleaded Petrol,Used,1197,Grey,5
48990,Volkswagen,Transporter,TDI 340 SWB LOW,T6 MY19,2019,66113,Van,Automatic,Diesel,Used,1968,White,2
26000,Mitsubishi,Triton,GLX-R (4X4),MN MY12,2013,143000,Double Cab Utility,Automatic,Diesel,Used,2477,Red,5
37990,Renault,Arkana,ZEN,XJL MY22,2022,1501,Coupe,Automatic,Unleaded Petrol,Demo,1333,Grey,5
26950,Subaru,Forester,2.0D-L,MY17,2017,143098,Wagon,Automatic,Diesel,Used,1998,Grey,5
14995,Toyota,Kluger,KX-S (fwd),GSU40R,2009,250481,Wagon,Automatic,Unleaded Petrol,Used,3456,Black,7
49995,HSV,Clubsport,R8,E Series,2007,102490,Sedan,Automatic,Premium Unleaded Petrol,Used,5967,Grey,5
32995,Mazda,CX-5,GT (4X4),MY17.5 (KF Series 2),2017,139739,Wagon,Automatic,Diesel,Used,2191,Grey,5
28990,Toyota,Corolla,SX,Mzea12R,2018,23998,Hatchback,Automatic,Unleaded Petrol,Used,1987,White,5
29333,BMW,220I,M-Sport,F22 MY16,2016,87751,Coupe,Automatic,Premium Unleaded Petrol,Used,1997,Black,4
33999,Toyota,Camry,Ascent,ASV70R,2020,21445,Sedan,Automatic,Unleaded Petrol,Used,2494,White,5
19987,Mitsubishi,ASX,XLS (4WD),XB MY15,2014,165626,Wagon,Automatic,Diesel,Used,2268,White,5
14999,Mitsubishi,Lancer,GSR Sportback,CJ MY14.5,2014,121000,Hatchback,Manual,Unleaded Petrol,Used,2360,Artic,5
44990,Mazda,CX-5,Touring Active (awd),CX5L,2022,2785,Wagon,Automatic,Diesel,Demo,2191,Grey,5
65900,BMW,330I,M-Sport,G20 MY19,2019,16717,Sedan,Automatic,Unleaded Petrol,Used,1998,Blue,5
45990,Ford,Everest,Trend,UA,2016,90665,Wagon,Automatic,Diesel,Used,3198,White,7
57480,Mercedes-Benz,GLA45,4Matic,X156 MY16,2016,67000,Wagon,Automatic,Premium Unleaded Petrol,Used,1991,Brown,5
52990,Ford,Falcon,G6E Turbo,FG X,2014,51320,Sedan,Automatic,Unleaded Petrol,Used,3984,Grey,5
69980,Subaru,WRX,STI Premium (wing) (awd),MY21,2021,16850,Sedan,Manual,Premium Unleaded Petrol,Used,2457,Grey,5
56490,Skoda,Karoq,Sportline (4X4),NU MY22 Facelift,2022,1188,Wagon,Automatic,Unleaded Petrol,Demo,1984,Red,5
39990,Ford,Ranger,XLS 3.2 (4X4),PX Mkii,2016,105717,Dual Cab Utility,Manual,Diesel,Used,3198,Grey,5
21870,Holden,Calais,V,VF,2014,168889,Sedan,Automatic,Unleaded Petrol,Used,3565,Silver,5
29999,Hyundai,Tucson,GO Crdi (awd),TL3 MY19,2018,90243,Wagon,Automatic,Diesel,Used,1995,White,5
13990,Subaru,XV,2.0I,MY14,2014,186392,Wagon,Manual,Unleaded Petrol,Used,1995,Silver,5
17990,Holden,Trax,LTZ,TJ,2013,55825,Wagon,Automatic,Unleaded Petrol,Used,1796,Black,5
44900,Ford,Transit Custom,340L (lwb),VN MY20.5,2020,94649,Van,Automatic,Diesel,Used,1995,Frozen,3
15880,Renault,Megane,GT-Line,B95,2013,106224,Hatchback,Automatic,Premium Unleaded Petrol,Used,1997,White,5
53490,Audi,S3,Sportback 2.0 Tfsi Quattro,8V MY18,2018,48500,Hatchback,Automatic,Premium Unleaded Petrol,Used,1984,White,5
45200,Toyota,Fortuner,GXL,GUN156R,2016,74349,Wagon,Automatic,Diesel,Used,2753,Blue,7
41987,Toyota,Hilux,SR5 (4X4),KUN26R MY12,2013,206767,Dual Cab Pick-up,Manual,Diesel,Used,2982,Gold,5
24895,Mitsubishi,Triton,GL,MN MY15,2015,49437,Cab Chassis,Manual,Unleaded Petrol,Used,2351,Red,2
38950,Mitsubishi,Triton,GLS (4X4),MQ MY17,2017,100099,Dual Cab Utility,Automatic,Diesel,Used,2440,Blue,5
8990,Holden,Astra,CD,AH,2005,164489,Hatchback,Automatic,Unleaded Petrol,Used,1796,Silver,5
21688,Toyota,Tarago,GLX,ACR50R MY09,2013,181720,Wagon,Automatic,Unleaded Petrol,Used,2362,White,8
60888,Toyota,Fortuner,GX NAV,GUN156R,2021,9752,Wagon,Automatic,Diesel,Used,2755,Black,7
24990,Hyundai,Tucson,Elite (awd),TLE,2015,86048,Wagon,Automatic,Diesel,Used,1995,Blue,5
32990,Mercedes-Benz,Vito,114 Bluetec LWB,447,2016,134588,Van,Automatic,Diesel,Used,2143,White,2
19900,Ford,Ranger,XL 3.2 (4X4),PX,2015,285720,Cab Chassis,Automatic,Diesel,Used,3198,White,2
8950,Suzuki,Swift,GL,FZ MY13,2014,173662,Hatchback,Manual,Unleaded Petrol,Used,1372,White,5
9950,Toyota,Tarago,GLI,ACR50R,2008,268115,Wagon,Automatic,Unleaded Petrol,Used,2362,Red,8
50888,Holden,Acadia,LTZ (awd),AC MY19,2019,31842,Wagon,Automatic,Unleaded Petrol,Used,3649,Blue,7
37990,Infiniti,Q30,Sport,H15 MY19,2019,38765,Hatchback,Automatic,Premium Unleaded Petrol,Used,1991,Black,5
12990,Mitsubishi,Express,SWB,SJ MY07,2008,211805,Van,Manual,Unleaded Petrol,Used,2351,White,2
34888,Subaru,XV,2.0I Premium,MY18,2018,21158,Wagon,Automatic,Unleaded Petrol,Used,1995,Grey,5
44990,Toyota,Camry,Ascent Sport (hybrid),Axvh71R,2020,20251,Sedan,Automatic,Premium Unleaded/Electric,Used,2494,White,5
16990,Renault,Captur,ZEN,J87 MY18,2017,92320,Wagon,Automatic,Premium Unleaded Petrol,Used,1197,Red,5
63750,Isuzu,D-MAX,LS-M (4X4),RG MY21,2021,13334,Crew Cab Utility,Automatic,Diesel,Used,2999,Blue,5
44990,Peugeot,2008,GT Sport,P24 MY22,2021,11424,Wagon,Automatic,Premium Unleaded Petrol,Used,1199,Blue,5
14990,Volkswagen,Beetle,Cabriolet,9C MY06 Upgrade,2006,141006,Cabriolet,Automatic,Premium Unleaded Petrol,Used,1984,Black,5
17950,Hyundai,IX35,SE (fwd),LM Series II,2015,160010,Wagon,Automatic,Unleaded Petrol,Used,1999,Blue,5
38950,Volkswagen,Amarok,V6 TDI 550 Highline,2H MY18,2018,175705,Dual Cab Utility,Automatic,Diesel,Used,2967,White,5
47990,Volkswagen,Tiguan,Allspace 162 TSI Highline,5NA MY19,2018,104384,Wagon,Automatic,Premium Unleaded Petrol,Used,1984,White,7
46880,Audi,S3,Sportback 2.0 Tfsi S Tronic,8V MY17,2017,60000,Hatchback,Automatic,Premium Unleaded Petrol,Used,1984,White,5
42950,Kia,Sorento,GT-Line (4X4),UM MY18,2017,91453,Wagon,Automatic,Diesel,Used,2199,White,7
40000,Toyota,Hilux,SR (4X4),KUN26R MY12,2014,115000,Dual Cab Pick-up,Manual,Diesel,Used,2982,White,5
9990,Kia,Cerato,S,YD MY16,2016,206980,Hatchback,Automatic,Unleaded Petrol,Used,1797,White,5
10995,Hyundai,Santa FE,SX Crdi (4X4),CM MY09 Upgrade,2009,233009,Wagon,Automatic,Diesel,Used,2188,Grey,5
15000,Holden,Trax,LS,TJ MY16,2016,83500,Wagon,Automatic,Unleaded Petrol,Used,1796,White,5
17995,Subaru,Impreza,2.0I-L (awd),MY14,2014,129741,Sedan,Manual,Unleaded Petrol,Used,1995,Grey,5
31980,Toyota,Kluger,GX (4X2),GSU50R MY17,2017,163298,Wagon,Automatic,Unleaded Petrol,Used,3456,Blue,7
15999,Nissan,Dualis,+2 ST (4X2),J10 Series 3,2013,159029,Wagon,Automatic,Unleaded Petrol,Used,1997,White,7
68888,Lexus,NX300,Luxury (fwd),AGZ10R,2021,17379,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,White,5
25990,Nissan,X-Trail,ST 7 Seat (2WD),T32 Series 2,2018,82661,Wagon,Automatic,Unleaded Petrol,Used,2488,White,7
57868,Mercedes-Benz,GLE250,D,166,2016,130813,Wagon,Automatic,Diesel,Used,2143,Black,5
23990,Ford,Falcon,XR6,FG Upgrade,2011,106924,Sedan,Automatic,Unleaded Petrol,Used,3984,Red,5
32800,Holden,Colorado,LTZ (4X2),RG MY15,2015,145729,Crew Cab Pickup,Automatic,Diesel,Used,2776,Grey,5
62990,Toyota,Landcruiser Prado,GXL (4X4),GDJ150R MY18,2018,140158,Wagon,Automatic,Diesel,Used,2755,White,7
52000,Mitsubishi,Triton,GLX-R (4X4),MR MY20,2020,32578,Double Cab Pick Up,Automatic,Diesel,Used,2440,White,5
22990,Volkswagen,Caddy,TSI160 Runner,2K MY18,2018,35949,Van,Manual,Premium Unleaded Petrol,Used,1197,White,2
46950,Audi,A3,40 Tfsi S Line Plus,8V MY20,2020,14150,Sportback,Automatic,Premium Unleaded/Electric,Used,1984,Grey,5
59990,Ford,Ranger,XLT 3.2 (4X4),PX Mkiii MY20.25,2020,35255,Double Cab Pick Up,Automatic,Diesel,Used,3198,White,5
62950,Ford,Transit Custom,320S Sport (swb),VN MY20.5,2020,26091,Van,Automatic,Diesel,Used,1995,Grey,3
43950,Ford,Endura,ST-Line (fwd),CA MY19,2019,27210,Wagon,Automatic,Diesel,Used,1995,Grey,5
16850,Mazda,3,NEO,BN MY17,2017,108389,Hatchback,Manual,Unleaded Petrol,Used,1998,Red,5
53500,Ford,Focus,RS,LZ,2017,38000,Hatchback,Manual,Premium Unleaded Petrol,Used,2261,Blue,5
31490,Hyundai,I30,Premium,PD2 MY20,2020,26526,Hatchback,Automatic,Unleaded Petrol,Used,1999,Grey,5
17990,Volkswagen,Golf,92 TSI,AU MY17,2017,127824,Hatchback,Manual,Premium Unleaded Petrol,Used,1395,Black,5
44999,Toyota,RAV4,Cruiser (2WD),Mxaa52R,2020,45306,Wagon,Automatic,Unleaded Petrol,Used,1987,Red,5
34997,Toyota,C-HR,GXL (2WD),NGX10R,2021,15849,Wagon,Automatic,Premium Unleaded Petrol,Used,1197,Red,5
22750,Land Rover,Range Rover Evoque,SI4 Pure,LV,2012,71000,Wagon,Automatic,Premium Unleaded Petrol,Used,1999,White,5
11800,Holden,Captiva,7 LX (4X4),CG MY12,2012,139483,Wagon,Automatic,Diesel,Used,2231,Cream,7
48500,Toyota,Hilux,SR5 (4X4),GUN126R,2016,105000,Dual Cab Utility,Automatic,Diesel,Used,2753,White,5
79990,Subaru,WRX,STI Spec R (wing) (awd),MY21,2020,28713,Sedan,Manual,Premium Unleaded Petrol,Used,2457,Black,5
44500,Mitsubishi,Pajero Sport,GLS (4X4) 7 Seat,MY17,2018,92000,Wagon,Automatic,Diesel,Used,2442,Titanium,7
32990,Mitsubishi,Outlander,LS 7 Seat (awd),ZL MY19,2018,119185,Wagon,Automatic,Unleaded Petrol,Used,2360,White,7
29888,Holden,Colorado 7,LT (4X4),RG MY15,2014,95279,Wagon,Automatic,Diesel,Used,2776,White,7
39888,Mazda,3,G25 Astina,BP,2020,16114,Hatchback,Automatic,Unleaded Petrol,Used,2488,White,5
27999,Holden,UTE,SV6,VF II,2015,173022,Utility,Automatic,Unleaded Petrol,Used,3565,Black,2
37999,Subaru,Forester,2.5I-S,MY18,2017,72885,Wagon,Automatic,Unleaded Petrol,Used,2498,Green,5
42000,Skoda,Superb,206 TSI,NP MY17,2017,98000,Sedan,Automatic,Premium Unleaded Petrol,Used,1984,White,5
31890,Toyota,Corolla,Ascent Sport (hybrid),ZWE211R,2019,40522,Sedan,Automatic,Unleaded Petrol/Electric,Used,1798,White,5
38990,Ford,Ranger,XLT 3.2 (4X4),PX Mkii MY17,2017,164080,Dual Cab Utility,Manual,Diesel,Used,3198,White,5
48888,Kia,Carnival,Platinum,YP MY17,2017,93443,Wagon,Automatic,Diesel,Used,2199,Black,8
31500,Holden,Colorado 7,Trailblazer (4X4),RG MY16,2016,154265,Wagon,Automatic,Diesel,Used,2776,Grey,7
55999,Mazda,CX-5,Akera Turbo (awd),CX5K,2022,10988,Wagon,Automatic,Unleaded Petrol,Used,2488,Red,5
20500,Jeep,Grand Cherokee,JET,WK MY12,2012,195000,Wagon,Automatic,Premium Unleaded Petrol,Used,3604,Black,5
3800,Mazda,2,NEO,DY,2005,181000,Hatchback,Manual,Unleaded Petrol,Used,1498,Neon,4
39990,Toyota,Hiace,LWB,KDH201R MY15,2016,107537,Van,Automatic,Diesel,Used,2982,White,2
39575,Hyundai,Iload,3S Liftback,TQ4 MY19,2019,96543,Van,Automatic,Diesel,Used,2497,White,3
46990,Ford,Ranger,XL 3.2 (4X4),PX Mkiii MY19,2018,100622,Super Cab Chassis,Automatic,Diesel,Used,3198,White,4
48636,Volkswagen,Golf,R,AU MY18,2018,55033,Hatchback,Automatic,Premium Unleaded Petrol,Used,1984,Grey,5
27990,Nissan,Navara,ST-R (4X4),D22 Series 5,2012,79564,Dual Cab Pick-up,Manual,Diesel,Used,2488,White,5
38950,Toyota,Hilux,SR (4X4),KUN26R MY14,2015,141197,Dual Cab Pick-up,Automatic,Diesel,Used,2982,White,5
39990,Toyota,Hilux,SR (4X4),GUN126R MY17,2018,224316,Dual Cab Chassis,Automatic,Diesel,Used,2753,White,5
45990,Toyota,Landcruiser Prado,GXL (4X4),KDJ150R 11 Upgrade,2013,148852,Wagon,Manual,Diesel,Used,2982,White,7
13990,Subaru,Impreza,2.0I (awd),MY12,2012,219613,Hatchback,Automatic,Unleaded Petrol,Used,1995,Silver,5
22990,Holden,Colorado,LT (4X4),RG MY15,2014,228221,Crew Cab Pickup,Automatic,Diesel,Used,2776,Silver,5
9990,Hyundai,I30,SX,FD MY10,2009,181314,Hatchback,Manual,Unleaded Petrol,Used,1975,Blue,5
18990,Subaru,Impreza,2.0I-L (awd),MY14,2013,97346,Hatchback,Automatic,Unleaded Petrol,Used,1995,Black,5
44569,BMW,X2,Sdrive20I M Sport,F39 MY18,2018,38002,Wagon,Automatic,Premium Unleaded Petrol,Used,1998,Blue,5
25990,Mitsubishi,ASX,LS Adas (2WD),XC MY18,2018,65896,Wagon,Automatic,Unleaded Petrol,Used,1998,Red,5
34990,Mazda,CX-5,Akera (4X4),MY17,2016,46611,Wagon,Automatic,Diesel,Used,2191,White,5
15999,BMW,X1,Xdrive 20D,E84 MY11,2012,127011,Wagon,Automatic,Diesel,Used,1995,Red,5
44800,Mercedes-Benz,GLE250,D,166,2016,117901,Wagon,Automatic,Diesel,Used,2143,Red,5
36950,Toyota,Kluger,GX (4X4),GSU55R,2018,147529,Wagon,Automatic,Unleaded Petrol,Used,3456,White,7
29990,Mercedes-Benz,Sprinter,313CDI MWB,906 MY14,2014,256700,Van,Automatic,Diesel,Used,2143,White,2
30990,Mazda,CX-3,Akari (fwd),DK MY19,2019,111205,Wagon,Automatic,Unleaded Petrol,Used,1998,Grey,5
28990,Nissan,Navara,ST 25TH Anniversary LE (4X4),D40 MY12,2012,132645,Dual Cab Pick-up,Manual,Diesel,Used,2488,Grey,5
52990,Toyota,Hiace,Commuter,KDH223R MY15,2016,86055,Bus,Automatic,Diesel,Used,2982,White,14
24900,Mercedes-Benz,B200,CDI,246 MY15,2015,123000,Hatchback,Automatic,Diesel,Used,2143,Silver,5
39640,Mitsubishi,Pajero Sport,GLX (4X4) 5 Seat,MY18,2018,129083,Wagon,Automatic,Diesel,Used,2442,Silver,5
44995,Toyota,Kluger,GX (4X2),GSU50R,2018,29778,Wagon,Automatic,Unleaded Petrol,Used,3456,Grey,7
54995,Toyota,RAV4,Cruiser AWD Hybrid,Axah54R,2019,88063,Wagon,Automatic,Unleaded Petrol/Electric,Used,2487,White,5
39990,Toyota,Hilux,SR5 (4X4),GUN126R,2015,193504,Dual Cab Utility,Automatic,Diesel,Used,2753,White,5
19990,Holden,Astra,LS Plus (5YR),5L MY18,2018,47364,Sedan,Automatic,Unleaded Petrol,Used,1399,White,5
41000,Mazda,CX-9,GT (fwd),MY16,2017,85876,Wagon,Automatic,Unleaded Petrol,Used,2488,Grey,7
35990,Toyota,Hilux,Workmate,TGN121R MY19,2019,82743,Double Cab Pick Up,Automatic,Unleaded Petrol,Used,2694,White,5
33990,Ford,Falcon,XR6,FG MK2,2014,148752,Cab Chassis,Manual,Unleaded Petrol,Used,3984,Black,2
54980,Holden,Commodore,SS,VF II,2016,55333,Sedan,Manual,Premium Unleaded Petrol,Used,6200,White,5
69830,Jeep,Grand Cherokee,Limited (4X4),WK MY19,2019,37724,Wagon,Automatic,Diesel,Used,2987,White,5
26913,Isuzu,D-MAX,SX HI-Ride (4X4),TF MY15,2015,227283,Crew Cab Utility,Automatic,Diesel,Used,2999,White,5
25750,Holden,Captiva,7 LTZ (awd),CG MY18,2018,116000,Wagon,Automatic,Unleaded Petrol,Used,2997,Silver,7
45990,Toyota,Hilux,SR HI-Rider,GUN136R MY19,2019,102526,Double Cab Pick Up,Automatic,Diesel,Used,2753,White,5
6990,Holden,Astra,CD,AH,2005,200258,Hatchback,Automatic,Unleaded Petrol,Used,1796,Gold,5
39990,Toyota,86,GTS,ZN6 MY17,2017,9659,Coupe,Automatic,Premium Unleaded Petrol,Used,1998,Red,4
13000,Toyota,Kluger,KX-S (fwd),GSU40R,2008,295000,Wagon,Automatic,Unleaded Petrol,Used,3456,Red,7
44990,BMW,X4,Xdrive 35I,F26 MY16,2016,114374,Coupe,Automatic,Premium Unleaded Petrol,Used,2979,Grey,5
44990,Land Rover,Range Rover Evoque,TD4 150 SE,LV MY17,2017,68821,Wagon,Automatic,Diesel,Used,1999,White,5
76888,Toyota,Hilux,Rugged X (4X4),GUN126R,2021,29089,Double Cab Pick Up,Automatic,Diesel,Used,2753,White,5
5990,Chrysler,PT Cruiser,Classic,MY06,2007,175000,Hatchback,Manual,Unleaded Petrol,Used,2429,Blue,5
9995,Mitsubishi,Triton,VR (4X4),ML MY08,2008,239777,Double Cab Utility,Manual,Unleaded Petrol,Used,3497,Grey,5
29990,Nissan,Qashqai,N-TEC,J11 MY18,2017,62455,Wagon,Automatic,Unleaded Petrol,Used,1997,Blue,5
29995,Volkswagen,Passat,140 TDI Highline,3C MY17,2016,81164,Sedan,Automatic,Diesel,Used,1968,Blue,5
19990,Holden,Commodore,SV6,VE II MY12,2011,135279,Sportswagon,Automatic,Unleaded Petrol,Used,3565,Grey,5
29777,Audi,Q3,1.4 Tfsi (110KW),8U MY15,2016,56959,Wagon,Automatic,Premium Unleaded Petrol,Used,1395,Black,5
26990,Toyota,RAV4,GX (2WD),ZSA42R MY18,2018,136582,Wagon,Automatic,Unleaded Petrol,Used,1987,White,5
18870,Holden,Commodore,SV6,VE II,2011,134391,Utility,Manual,Unleaded Petrol,Used,3565,Red,2
19500,Holden,Statesman,International,WH,2000,55000,Sedan,Automatic,Unleaded Petrol,Used,5665,Maroon,5
14990,Hyundai,I30,SX,FD MY11,2011,79633,Hatchback,Automatic,Unleaded Petrol,Used,1591,Silver,5
14995,Mitsubishi,Lancer,VR,CJ,2008,188763,Sedan,Automatic,Unleaded Petrol,Used,1998,Blue,5
26880,Mitsubishi,Triton,GLX,MQ MY17,2017,59738,Cab Chassis,Manual,Unleaded Petrol,Used,2351,White,2
25990,Mazda,2,Genki,DJ MY17,2018,16432,Hatchback,Automatic,Unleaded Petrol,Used,1496,White,5
62996,Audi,S5,3.0 Tfsi Quattro,F5 MY17,2017,74338,Coupe,Automatic,Premium Unleaded Petrol,Used,2995,Blue,4
27990,Hyundai,Kona,Highlander RED,OS,2017,110708,Wagon,Automatic,Unleaded Petrol,Used,1999,White,5
